geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_state,region
1121,-23.524588477378973,-46.634392141554585,SP,Southeast
1141,-23.52011919677996,-46.66584000098096,SP,Southeast
1125,-23.529050497085805,-46.63889432139766,SP,Southeast
1102,-23.52261021648681,-46.62942387523806,SP,Southeast
1127,-23.52773504025041,-46.64480016028046,SP,Southeast
1137,-23.51957274271452,-46.654271565497176,SP,Southeast
1135,-23.52122103136361,-46.65296293450282,SP,Southeast
1138,-23.5188254074384,-46.65562359824576,SP,Southeast
1128,-23.52296856571061,-46.64174928255676,SP,Southeast
1109,-23.525355372756565,-46.62754223036526,SP,Southeast
1132,-23.51929180460501,-46.64980089647412,SP,Southeast
1108,-23.52375957536492,-46.6324154521322,SP,Southeast
1107,-23.522004902014046,-46.63397365860703,SP,Southeast
1154,-23.53158118373822,-46.66174681473255,SP,Southeast
1152,-23.52916893282939,-46.65214846073055,SP,Southeast
1134,-23.51867680707737,-46.6531159131789,SP,Southeast
1144,-23.52362350735759,-46.67201579877662,SP,Southeast
1129,-23.5259237463212,-46.642131776011375,SP,Southeast
1105,-23.533744232586976,-46.63063486274458,SP,Southeast
1126,-23.52915073382772,-46.64042336234055,SP,Southeast
1142,-23.51993430515264,-46.6251300217966,SP,Southeast
1133,-23.522591105747573,-46.651049014715184,SP,Southeast
1101,-23.533718588348005,-46.63327836278268,SP,Southeast
1189,-23.53210825506378,-46.63839470107914,SP,Southeast
1202,-23.530243903687488,-46.65091042186511,SP,Southeast
1230,-23.532734734664448,-46.654324449073776,SP,Southeast
1221,-23.54601532944774,-46.64900196003804,SP,Southeast
1217,-23.533844773241405,-46.64940663613022,SP,Southeast
1243,-23.54946977906979,-46.65509829793992,SP,Southeast
1203,-23.537119379681474,-46.64438743865777,SP,Southeast
1214,-23.53569581346678,-46.64141313885349,SP,Southeast
1257,-23.54507217346644,-46.68438057799065,SP,Southeast
1231,-23.5367081559813,-46.6596418411045,SP,Southeast
1216,-23.53597285667968,-46.651407002063245,SP,Southeast
1226,-23.534478565641404,-46.65502761740432,SP,Southeast
1220,-23.542757999999992,-46.64547398167813,SP,Southeast
1223,-23.54377251788917,-46.6482729970858,SP,Southeast
1213,-23.536400280050746,-46.64003758881069,SP,Southeast
1227,-23.537290117980763,-46.65443089812821,SP,Southeast
1240,-23.54378694284137,-46.65861209437926,SP,Southeast
1258,-23.54499310130417,-46.685597180824026,SP,Southeast
1222,-23.547159576461446,-46.64989460560333,SP,Southeast
1211,-23.53582223582903,-46.651605049299015,SP,Southeast
1244,-23.54499336358131,-46.65968022344037,SP,Southeast
1238,-23.54195269441404,-46.65931762155928,SP,Southeast
1204,-23.53680115237462,-46.644416271856414,SP,Southeast
1234,-23.537055499855768,-46.66361722052618,SP,Southeast
1228,-23.54839279655493,-46.659018341392965,SP,Southeast
1224,-23.541718547319537,-46.64883066180968,SP,Southeast
1229,-23.54108734139297,-46.65733920275257,SP,Southeast
1232,-23.53676737440136,-46.65507313113856,SP,Southeast
1218,-23.531544680824037,-46.65066866833055,SP,Southeast
1215,-23.537982300854097,-46.64927618235323,SP,Southeast
1239,-23.548781693029053,-46.65745981155857,SP,Southeast
1205,-23.53176047100233,-46.64592571455356,SP,Southeast
1201,-23.53435725950717,-46.64935629739165,SP,Southeast
1259,-23.54335652677597,-46.683946373016354,SP,Southeast
1210,-23.540860990564934,-46.64385528059898,SP,Southeast
1249,-23.54756594892955,-46.66977043395457,SP,Southeast
1212,-23.537511255832708,-46.63705730743676,SP,Southeast
1248,-23.547307547319537,-46.66789155107045,SP,Southeast
1233,-23.540299470713855,-46.66278360519932,SP,Southeast
1219,-23.540223573951277,-46.645277138092126,SP,Southeast
1235,-23.53645971856428,-46.66424678602334,SP,Southeast
1209,-23.539446764643067,-46.639378335968615,SP,Southeast
1236,-23.54169219568345,-46.66747262574287,SP,Southeast
1206,-23.535535799324883,-46.64305202830518,SP,Southeast
1207,-23.536840620318525,-46.640393035807016,SP,Southeast
1251,-23.54700826311385,-46.67399273506846,SP,Southeast
1242,-23.547526626983625,-46.65580327269316,SP,Southeast
1241,-23.54567660866176,-46.6569934730798,SP,Southeast
1208,-23.540822507357586,-46.6397147149576,SP,Southeast
1254,-23.54196785483874,-46.68191419135562,SP,Southeast
1255,-23.545782460730543,-46.68119826089217,SP,Southeast
1245,-23.54929680904841,-46.66359454884875,SP,Southeast
1225,-23.54064714772717,-46.648251782670506,SP,Southeast
1252,-23.54173205190716,-46.67710841548848,SP,Southeast
1237,-23.544317693577312,-46.66982279920932,SP,Southeast
1200,-23.531567773241413,-46.64986907784642,SP,Southeast
1250,-23.548106335564583,-46.67255083804609,SP,Southeast
1247,-23.551341734760975,-46.66937701435217,SP,Southeast
1246,-23.55259069386578,-46.6664048798257,SP,Southeast
1262,-23.550856391462712,-46.67735184892536,SP,Southeast
1253,-23.54320796973291,-46.680244701079125,SP,Southeast
1290,-23.54096134139296,-46.657748702752585,SP,Southeast
1256,-23.54856753595123,-46.683293049685474,SP,Southeast
1303,-23.55001132944774,-46.64818240521669,SP,Southeast
1309,-23.557323688585655,-46.65692890729416,SP,Southeast
1310,-23.556926913670807,-46.6615417904381,SP,Southeast
1323,-23.56360092810872,-46.64096891541434,SP,Southeast
1321,-23.55896103857696,-46.64089188579832,SP,Southeast
1333,-23.56356993894623,-46.65184216708981,SP,Southeast
1314,-23.550271219805023,-46.641530430203645,SP,Southeast
1331,-23.562327520947598,-46.6503277425703,SP,Southeast
1307,-23.549360699694148,-46.65412441687346,SP,Southeast
1318,-23.56503810268915,-46.64731633542034,SP,Southeast
1322,-23.564189902302505,-46.64356963725542,SP,Southeast
1308,-23.555182505135885,-46.65226234401868,SP,Southeast
1306,-23.55433380183505,-46.64967363918865,SP,Southeast
1301,-23.550812799901816,-46.65525802969017,SP,Southeast
1302,-23.547650962519555,-46.64357747515727,SP,Southeast
1312,-23.55364600943506,-46.64827785290551,SP,Southeast
1319,-23.55156260866176,-46.64021297307979,SP,Southeast
1316,-23.55298158090484,-46.63977389064573,SP,Southeast
1317,-23.56281094772712,-46.64538049222014,SP,Southeast
1313,-23.556513287803007,-46.65025319729151,SP,Southeast
1324,-23.551359454065437,-46.64339075477531,SP,Southeast
1327,-23.56521929669917,-46.6451517253736,SP,Southeast
1304,-23.55217944962204,-46.652991998615015,SP,Southeast
1332,-23.559874596168275,-46.65312715543304,SP,Southeast
1326,-23.558908285042403,-46.64517207853889,SP,Southeast
1315,-23.552592988343235,-46.64068338732753,SP,Southeast
1325,-23.56040415015292,-46.64409070038665,SP,Southeast
1329,-23.563145744936214,-46.64661879892085,SP,Southeast
1330,-23.556817623925213,-46.64986083625707,SP,Southeast
1311,-23.560566359426364,-46.65761042867444,SP,Southeast
1305,-23.556083049685476,-46.658022684978974,SP,Southeast
1320,-23.557337937272795,-46.63877749362335,SP,Southeast
1328,-23.55542941271852,-46.64533779225576,SP,Southeast
1402,-23.58406691212703,-46.66998067037748,SP,Southeast
1421,-23.562331512897508,-46.66120425339033,SP,Southeast
1403,-23.57034735804139,-46.65315099653755,SP,Southeast
1409,-23.5613664276935,-46.657593869005645,SP,Southeast
1411,-23.568546850380155,-46.66483313596545,SP,Southeast
1452,-23.56883153079836,-46.69199439364803,SP,Southeast
1423,-23.568918203156603,-46.656995139736914,SP,Southeast
1417,-23.48850962531019,-46.714606281435714,SP,Southeast
1408,-23.569438714409333,-46.66342129141903,SP,Southeast
1455,-23.580690704974277,-46.68751888037395,SP,Southeast
1401,-23.569747571977175,-46.65100357197719,SP,Southeast
1410,-23.558595737434405,-46.65657075535223,SP,Southeast
1453,-23.583435663338896,-46.68646270038665,SP,Southeast
1415,-23.551840037191976,-46.65455309547579,SP,Southeast
1416,-23.55951039494492,-46.66706390175425,SP,Southeast
1445,-23.568346382739897,-46.68910543089613,SP,Southeast
1424,-23.56816235942637,-46.66117892867444,SP,Southeast
1422,-23.55978441771017,-46.6660792610364,SP,Southeast
1419,-23.557767998615013,-46.662673347769605,SP,Southeast
1414,-23.56362276547979,-46.667603824167614,SP,Southeast
1420,-23.56851813765943,-46.65191532569683,SP,Southeast
1451,-23.583489065785624,-46.68508055092622,SP,Southeast
1446,-23.575692782128208,-46.67656975659298,SP,Southeast
1406,-23.56582006549717,-46.65801073994457,SP,Southeast
1454,-23.582148872612336,-46.68638063183105,SP,Southeast
1426,-23.562597147293012,-46.66968807621716,SP,Southeast
1413,-23.55863183097696,-46.66070142630853,SP,Southeast
1433,-23.58188488758732,-46.66848679753589,SP,Southeast
1427,-23.573515117952592,-46.66112293352187,SP,Southeast
1405,-23.566964123780973,-46.65698270719597,SP,Southeast
1435,-23.579681908967608,-46.66963177269314,SP,Southeast
1449,-23.576292199001667,-46.68142310352587,SP,Southeast
1425,-23.572330354982963,-46.66082327699232,SP,Southeast
1430,-23.881629353829144,-46.643818799723405,SP,Southeast
1404,-23.56994326977895,-46.657093704685806,SP,Southeast
1442,-23.56370226740048,-46.67529085698279,SP,Southeast
1407,-23.5784800999192,-46.67516750652087,SP,Southeast
1418,-23.56312173510022,-46.656566708353616,SP,Southeast
1472,-23.57054369248079,-46.69129667943905,SP,Southeast
1443,-23.56750865000869,-46.68471805799536,SP,Southeast
1428,-23.576461470165608,-46.65933149278663,SP,Southeast
1434,-23.57791700859833,-46.66945260115993,SP,Southeast
1457,-23.57883550069249,-46.69092820399332,SP,Southeast
1412,-23.5644233366611,-46.66684085068379,SP,Southeast
1448,-23.57741669608748,-46.67817482139765,SP,Southeast
1456,-23.578504155433038,-46.690118296987634,SP,Southeast
1432,-23.574420691644068,-46.66422198695826,SP,Southeast
1441,-23.575656697760916,-46.68951882930351,SP,Southeast
1489,-23.57664998889148,-46.68740004775216,SP,Southeast
1429,-23.57524108520401,-46.66307398459231,SP,Southeast
1450,-23.574925477927227,-46.68505199999999,SP,Southeast
1440,-23.56448527782904,-46.674418610595005,SP,Southeast
1438,-23.570325577009708,-46.67299258050082,SP,Southeast
1444,-23.605675658895493,-46.74544468220901,SP,Southeast
1436,-23.572650803768283,-46.66771704607878,SP,Southeast
1447,-23.572517679150597,-46.680710766460734,SP,Southeast
1439,-23.566283267268798,-46.67340369415422,SP,Southeast
1431,-23.578166638380598,-46.66288281851213,SP,Southeast
1437,-23.57095471827582,-46.66969642853022,SP,Southeast
1526,-23.56690212960936,-46.6300592031566,SP,Southeast
1509,-23.567590529834398,-46.63545150721337,SP,Southeast
1504,-23.56375858312654,-46.63899210115993,SP,Southeast
1536,-23.56253963239443,-46.622343972359054,SP,Southeast
1535,-23.569618023313524,-46.62490078227243,SP,Southeast
1511,-23.555682314184303,-46.63309991286275,SP,Southeast
1534,-23.56284740383172,-46.62391126354653,SP,Southeast
1514,-23.55306435468261,-46.62768625580495,SP,Southeast
1529,-23.569353157366287,-46.63690014002537,SP,Southeast
1539,-23.573782561198005,-46.62058066708981,SP,Southeast
1532,-23.572060847625384,-46.636136837497816,SP,Southeast
1542,-23.57081105190717,-46.62114560866177,SP,Southeast
1548,-23.578346556754592,-46.614710870390624,SP,Southeast
1543,-23.575755845951942,-46.62009625506377,SP,Southeast
1544,-23.576922503462445,-46.622911919095145,SP,Southeast
1546,-23.576252951151247,-46.62235967583239,SP,Southeast
1523,-23.56366379462169,-46.61929091188178,SP,Southeast
1506,-23.56180273327946,-46.63479182904371,SP,Southeast
1518,-23.558930444630374,-46.62292373757862,SP,Southeast
1510,-23.55619865667379,-46.63344748251487,SP,Southeast
1537,-23.569022776299825,-46.62199066665712,SP,Southeast
1531,-23.570124170696488,-46.63265515860704,SP,Southeast
1549,-23.57732126894224,-46.61708484846209,SP,Southeast
1533,-23.57219854010617,-46.63913109824576,SP,Southeast
1525,-23.567008903139214,-46.63752874701368,SP,Southeast
1520,-23.559238666108847,-46.61831887996994,SP,Southeast
1550,-23.57203616319466,-46.61521226741304,SP,Southeast
1503,-23.555488240827945,-46.63559923847351,SP,Southeast
1541,-23.568722298084143,-46.61880092397124,SP,Southeast
1545,-23.581373061053768,-46.6178758329102,SP,Southeast
1522,-23.55916467499565,-46.61546691825843,SP,Southeast
1508,-23.56014607245072,-46.633346125858445,SP,Southeast
1519,-23.56007528864907,-46.62182990175425,SP,Southeast
1547,-23.58202355453289,-46.62322245045877,SP,Southeast
1538,-23.573205,-46.62290025,SP,Southeast
1501,-23.5519314837556,-46.63569089731083,SP,Southeast
1521,-23.56012381877193,-46.62080822384439,SP,Southeast
1530,-23.586145389375964,-46.72796029067322,SP,Southeast
1505,-23.555396514570944,-46.6328610313636,SP,Southeast
1502,-23.55498324839867,-46.63569905288812,SP,Southeast
1551,-23.576649380518187,-46.61216232569684,SP,Southeast
1540,-23.56461420122337,-46.62049830030583,SP,Southeast
1528,-23.563268623088483,-46.62567806771887,SP,Southeast
1513,-23.556895554532897,-46.63100370483005,SP,Southeast
1527,-23.563144561198005,-46.62658014155458,SP,Southeast
1524,-23.5670455434244,-46.61611199999999,SP,Southeast
1507,-23.558197452680457,-46.63164907507647,SP,Southeast
1512,-23.553644898695826,-46.63261889578163,SP,Southeast
1552,-23.573835900917526,-46.61101337290079,SP,Southeast
1553,-23.57430307573513,-46.60968254215087,SP,Southeast
1516,-23.55948466195392,-46.61446206064973,SP,Southeast
1517,-23.560247933666105,-46.624831454209655,SP,Southeast
2019,-23.498262,-46.62855053996195,SP,Southeast
2069,-23.506887635581972,-46.61434088051819,SP,Southeast
2067,-23.505895624473467,-46.60638997293555,SP,Southeast
2020,-23.499083916977654,-46.63226647191997,SP,Southeast
2075,-23.502028505135893,-46.60034967291817,SP,Southeast
2012,-23.50836123028566,-46.62752418968636,SP,Southeast
2076,-23.50692178074323,-46.5989496135092,SP,Southeast
2035,-23.500395,-46.62233251442673,SP,Southeast
2034,-23.50412273877685,-46.6246075311652,SP,Southeast
2022,-23.50623786745398,-46.64043238758518,SP,Southeast
2021,-23.499439994171624,-46.63380353274858,SP,Southeast
2080,-23.49781772078598,-46.60657423175024,SP,Southeast
2066,-23.508759080212357,-46.602973042876144,SP,Southeast
2085,-23.4974436813723,-46.61260908702167,SP,Southeast
2030,-23.504769581649203,-46.62470303231384,SP,Southeast
2064,-23.519807581453097,-46.5960457342604,SP,Southeast
2029,-23.510936587354013,-46.62008933890293,SP,Southeast
2060,-23.51886128198398,-46.60382280391252,SP,Southeast
2054,-23.51636255037796,-46.60569249861501,SP,Southeast
2072,-23.500810509290837,-46.60427196058632,SP,Southeast
2017,-23.501381250870143,-46.639206505591815,SP,Southeast
2018,-23.493511048012017,-46.63106708174157,SP,Southeast
2043,-23.490223040798668,-46.61732558589649,SP,Southeast
2074,-23.509075809596663,-46.59346383582438,SP,Southeast
2038,-23.49857049347913,-46.6233534590571,SP,Southeast
2016,-23.50097763469062,-46.62712333406575,SP,Southeast
2040,-23.489022991949916,-46.62186690299499,SP,Southeast
2056,-23.510640635581964,-46.6040934060534,SP,Southeast
2051,-23.51226773910784,-46.60874803052688,SP,Southeast
2041,-23.49010232139766,-46.61972998972821,SP,Southeast
2039,-23.49231066388715,-46.6205286217035,SP,Southeast
2073,-23.501230323619367,-46.60751038343238,SP,Southeast
2082,-23.49467072799935,-46.609653122396,SP,Southeast
2033,-23.50215379349651,-46.61688101249347,SP,Southeast
2013,-23.5030857485429,-46.63382294171621,SP,Southeast
2079,-23.50036682653355,-46.60264059824574,SP,Southeast
2037,-23.499986521784315,-46.618730413266775,SP,Southeast
2083,-23.49552085567545,-46.599274267557256,SP,Southeast
2068,-23.50320809186911,-46.61302451304173,SP,Southeast
2071,-23.50313753733621,-46.609684480437394,SP,Southeast
2047,-23.51836389286744,-46.61420872522939,SP,Southeast
2078,-23.502460609498485,-46.59374588980903,SP,Southeast
2044,-23.49568082347514,-46.61894670690752,SP,Southeast
2084,-23.495675029141907,-46.59947756924808,SP,Southeast
2055,-23.512952943937883,-46.6083024672514,SP,Southeast
2042,-23.48802239938832,-46.61900150236592,SP,Southeast
2045,-23.494406023962647,-46.617320553160994,SP,Southeast
2036,-23.50210750375091,-46.62196127699232,SP,Southeast
2046,-23.48774784542202,-46.61152878400604,SP,Southeast
2010,-23.514929559813023,-46.62640583152521,SP,Southeast
2081,-23.49664721787179,-46.6050361851232,SP,Southeast
2050,-23.51654350320264,-46.61056315903973,SP,Southeast
2052,-23.509466926452752,-46.606867502077456,SP,Southeast
2031,-23.51506899745697,-46.6253165150725,SP,Southeast
2028,-23.50751845268047,-46.6174707485429,SP,Southeast
2065,-23.50172637108313,-46.602397760747934,SP,Southeast
2077,-23.501001111575956,-46.59626327601136,SP,Southeast
2011,-23.50190277027253,-46.626229169812845,SP,Southeast
2049,-23.5149758170985,-46.61611264542106,SP,Southeast
2032,-23.5107769477988,-46.62390842770356,SP,Southeast
2053,-23.510427444341925,-46.60117949988444,SP,Southeast
2009,-23.515799103830265,-46.64113909097136,SP,Southeast
2089,-23.51709448459233,-46.616673100755904,SP,Southeast
2088,-23.50424025971884,-46.620742066583865,SP,Southeast
2150,-23.495750203445063,-46.56850788842403,SP,Southeast
2133,-23.500291464048765,-46.585615159039705,SP,Southeast
2167,-23.522903946448046,-46.58180409758191,SP,Southeast
2130,-23.508100938657773,-46.58282425353455,SP,Southeast
2188,-23.507509473772288,-46.56565713558197,SP,Southeast
2152,-23.498158714409342,-46.573211734116185,SP,Southeast
2138,-23.49565160199666,-46.57582722508515,SP,Southeast
2134,-23.499318080212344,-46.578124372468125,SP,Southeast
2176,-23.51226784347044,-46.5737047327312,SP,Southeast
2117,-23.52019456333894,-46.593538927981854,SP,Southeast
2119,-23.513593871775623,-46.59299115736628,SP,Southeast
2131,-23.50281070858096,-46.581761933117846,SP,Southeast
2124,-23.50636475575626,-46.58066375575627,SP,Southeast
2129,-23.50521569969416,-46.58945986733221,SP,Southeast
2132,-23.49833145406544,-46.58041450069248,SP,Southeast
2110,-23.52188843014645,-46.59374225679054,SP,Southeast
2135,-23.498807971146547,-46.573631134485446,SP,Southeast
2127,-23.50238052178431,-46.582730947544576,SP,Southeast
2114,-23.522853341941214,-46.59177958367481,SP,Southeast
2178,-23.519838404668437,-46.57027290507246,SP,Southeast
2177,-23.511112774078125,-46.56976216763806,SP,Southeast
2120,-23.510416629107844,-46.594217747359366,SP,Southeast
2161,-23.491262189566605,-46.57078597807146,SP,Southeast
2112,-23.512668178041054,-46.58665534166385,SP,Southeast
2126,-23.506858079375625,-46.59162343505108,SP,Southeast
2169,-23.51932718168024,-46.57580722635043,SP,Southeast
2123,-23.510773697472448,-46.57804828074323,SP,Southeast
2189,-23.507621497085808,-46.56616243450284,SP,Southeast
2128,-23.50399490536093,-46.5946382411853,SP,Southeast
2179,-23.51950161226844,-46.567310496104845,SP,Southeast
2136,-23.4982544454671,-46.57847265889549,SP,Southeast
2174,-23.523062564007805,-46.57189679679223,SP,Southeast
2186,-23.51335483236194,-46.56877347114656,SP,Southeast
2137,-23.50176923397196,-46.57187320760001,SP,Southeast
2185,-23.512283612268444,-46.56782303996194,SP,Southeast
2181,-23.52093290536093,-46.56270976672054,SP,Southeast
2180,-23.51997318512321,-46.5659400380287,SP,Southeast
2111,-23.515789212043405,-46.59197639370417,SP,Southeast
2187,-23.515125715794323,-46.56489950138496,SP,Southeast
2121,-23.51181353788448,-46.58921527477062,SP,Southeast
2190,-23.5099120335853,-46.56318688703905,SP,Southeast
2139,-23.494134939494487,-46.57343969969415,SP,Southeast
2143,-23.50799229892086,-46.57521706910386,SP,Southeast
2122,-23.513172191788303,-46.58263962184772,SP,Southeast
2115,-23.526499508561297,-46.59188593503609,SP,Southeast
2118,-23.51661167998731,-46.59476458159733,SP,Southeast
2125,-23.507957137111184,-46.58846138051819,SP,Southeast
2113,-23.51528796497884,-46.58734465236856,SP,Southeast
2147,-23.49955674271452,-46.5652199639332,SP,Southeast
2141,-23.489125655104345,-46.57563101727822,SP,Southeast
2170,-23.525379999999927,-46.576089999999965,SP,Southeast
2166,-23.525060091869104,-46.583738219401,SP,Southeast
2175,-23.516718741284578,-46.57445726194335,SP,Southeast
2168,-23.520174883432382,-46.57883175284207,SP,Southeast
2116,-23.522700069940573,-46.58754575881468,SP,Southeast
2145,-23.50149553621103,-46.56529291326677,SP,Southeast
2151,-23.493537729684284,-46.56649157558708,SP,Southeast
2146,-23.50095702331352,-46.57088226395057,SP,Southeast
2144,-23.505075172949205,-46.57083605675562,SP,Southeast
2162,-23.49030645045876,-46.56191043118461,SP,Southeast
2142,-23.509860072593558,-46.57548531556786,SP,Southeast
2116,-23.515978148767932,-46.582169967107184,RN,Northeast
2251,-23.479894623925205,-46.595511282820695,SP,Southeast
2256,-23.476069676380632,-46.5875753993883,SP,Southeast
2246,-23.49191347960067,-46.60200386081135,SP,Southeast
2223,-23.47872104025041,-46.58108916028048,SP,Southeast
2225,-23.480339500692484,-46.57586314071786,SP,Southeast
2204,-23.483740588954927,-46.5898570932541,SP,Southeast
2235,-23.479438693865774,-46.5790147857349,SP,Southeast
2245,-23.48347746211553,-46.60599175145708,SP,Southeast
2243,-23.49083843519532,-46.5983578447112,SP,Southeast
2208,-23.48101574715792,-46.58546644517863,SP,Southeast
2222,-23.48463030030584,-46.57788816694557,SP,Southeast
2232,-23.476190144324534,-46.56109123841534,SP,Southeast
2203,-23.491692314184306,-46.59024532431184,SP,Southeast
2250,-23.486549521784305,-46.59469228282069,SP,Southeast
2263,-23.46353280183505,-46.57715608159734,SP,Southeast
2238,-23.47019809031553,-46.56484109288583,SP,Southeast
2261,-23.46735986594724,-46.57715992131685,SP,Southeast
2267,-23.47643279877663,-46.598178216486815,SP,Southeast
2270,-23.472793571469776,-46.59464741395925,SP,Southeast
2227,-23.483253583126537,-46.569258712187626,SP,Southeast
2273,-23.45886783036675,-46.58574627053405,SP,Southeast
2244,-23.49047396142303,-46.60639166527211,SP,Southeast
2229,-23.47929118373822,-46.56787618526742,SP,Southeast
2215,-23.491089052455425,-46.5850818805182,SP,Southeast
2259,-23.471607970858106,-46.580389438802,SP,Southeast
2228,-23.480055932281125,-46.569816911189314,SP,Southeast
2254,-23.4851179664147,-46.59617458979163,SP,Southeast
2218,-23.486735252842077,-46.58408012476191,SP,Southeast
2247,-23.484890608661765,-46.6021051866524,SP,Southeast
2226,-23.484632448237065,-46.57191858451151,SP,Southeast
2274,-23.46824404524207,-46.585030834727874,SP,Southeast
2220,-23.490745910352587,-46.57794383819032,SP,Southeast
2217,-23.490335892030725,-46.58028421051419,SP,Southeast
2265,-23.47651943519532,-46.59554967707312,SP,Southeast
2276,-23.459902378084543,-46.58449611703253,SP,Southeast
2242,-23.488133029141903,-46.60765995712386,SP,Southeast
2269,-23.474592953372944,-46.596153017485136,SP,Southeast
2221,-23.481978422701832,-46.58058753344108,SP,Southeast
2279,-23.46048082737028,-46.57585219747245,SP,Southeast
2249,-23.49108295475793,-46.59518841465175,SP,Southeast
2237,-23.46503080460501,-46.56958828587911,SP,Southeast
2206,-23.487076247013697,-46.589872683594,SP,Southeast
2258,-23.47623536441803,-46.58210664723873,SP,Southeast
2236,-23.474632525679453,-46.56894074606139,SP,Southeast
2205,-23.489101697472453,-46.58859076977895,SP,Southeast
2241,-23.490518793784968,-46.60742305591787,SP,Southeast
2219,-23.487935688874103,-46.5808627924,SP,Southeast
2257,-23.47172419594325,-46.58517130919263,SP,Southeast
2230,-23.48274827338563,-46.56490113044606,SP,Southeast
2210,-23.48653952622772,-46.57926775506377,SP,Southeast
2266,-23.47351767860233,-46.59417129378496,SP,Southeast
2211,-23.497022021928537,-46.59590298182237,SP,Southeast
2280,-23.454232910352587,-46.57383309103239,SP,Southeast
2278,-23.463538962259747,-46.58182067485141,SP,Southeast
2264,-23.463067641410348,-46.57733468803738,SP,Southeast
2201,-23.48564922814357,-46.59218589286744,SP,Southeast
2253,-23.479545520399327,-46.596922621847725,SP,Southeast
